State Name,City Name,Year,Month,datetime,latitude,longitude,Road Type,Road Condition,Lighting Conditions,Weather Conditions,Traffic Control Presence,Driver Age,Driver Gender,driver_experience,Driver License Status,driver_speed_habit(km/h),Alcohol Involvement,Vehicle Type Involved,vehicle_condition,Accident Severity
Chandigarh,New District-38,2022,April,17-01-2022 08:05,25.76330523,71.51082463,Urban Road,Wet,Daylight,Stormy,Signs,33,Male,6 yr,Valid,80,Yes,Two-Wheeler,average,Minor
Chandigarh,West District-35,2023,February,24-06-2023 00:41,23.15119126,96.39030711,National Highway,Dry,Dark,Hazy,Signs,63,Male,18 yr,Valid,33,No,Cycle,good,Fatal
Karnataka,South Port-11,2023,October,30-11-2023 13:21,12.49690147,76.95851902,Urban Road,Dry,Daylight,Foggy,Signs,76,Male,8 months,Expired,77,Yes,Truck,medium,Minor
Andhra Pradesh,Vijayawada,2021,October,17-05-2021 05:42,17.08481444,78.47843095,Village Road,Dry,Dusk,Clear,Signals,45,Male,28 yr,Valid,137,Yes,Bus,average,Serious
Rajasthan,Ajmer,2019,January,17-05-2019 17:06,33.27023298,74.65113631,Urban Road,Dry,Dusk,Hazy,Signs,26,Male,1 yr,Valid,102,Yes,Two-Wheeler,medium,Minor
Karnataka,New Port-35,2023,June,12-08-2023 18:48,13.56554007,76.71341181,National Highway,Damaged,Dusk,Clear,Police Checkpost,43,Male,7 yr,Valid,53,Yes,Two-Wheeler,average,Serious
Gujarat,East District-10,2018,September,05-02-2018 10:24,24.42528141,69.37788606,National Highway,Under Construction,Daylight,Foggy,Police Checkpost,33,Male,10 months,Valid,142,No,Truck,poor,Serious
Gujarat,Ahmedabad,2022,March,30-06-2022 08:45,20.24069421,68.9666217,Urban Road,Dry,Dusk,Stormy,Signs,62,Male,1 months,Valid,64,No,Two-Wheeler,average,Fatal
Punjab,Patiala,2019,September,28-09-2019 22:31,30.70036236,76.48673002,National Highway,Dry,Dark,Rainy,Signs,77,Female,8 yr,Valid,38,Yes,Truck,bad,Serious
Punjab,Bathinda,2023,November,03-01-2023 06:10,29.81293419,73.54402915,Village Road,Dry,Daylight,Foggy,Signs,37,Female,2 months,Valid,46,Yes,Two-Wheeler,bad,Fatal
Nagaland,South Port-49,2020,April,29-07-2020 19:14,16.99353237,80.94044127,National Highway,Dry,Dusk,Clear,Signals,19,Female,17 yr,No license,124,No,Two-Wheeler,poor,Serious
Maharashtra,Pune,2018,February,21-10-2018 01:11,21.93259723,73.71144562,Urban Road,Dry,Dusk,Clear,Signs,78,Male,2 months,Valid,12,No,Car,average,Serious
Nagaland,West District-47,2022,November,17-11-2022 15:51,21.19005828,78.25762925,State Highway,Wet,Dark,Hazy,Police Checkpost,64,Female,12 yr,Valid,131,No,Bus,medium,Minor
Andhra Pradesh,Tirupati,2023,December,22-06-2023 15:03,17.75147134,77.58600702,Urban Road,Wet,Dawn,Foggy,Police Checkpost,67,Female,28 yr,No license,52,No,Car,bad,Fatal
Uttarakhand,North District-14,2023,August,07-12-2023 12:53,31.64130394,68.79854032,Village Road,Wet,Dark,Rainy,Signals,34,Female,9 months,Valid,16,Yes,Truck,average,Serious
Karnataka,West Town-42,2021,July,09-12-2021 20:39,12.04166261,78.49732751,National Highway,Dry,Dusk,Stormy,Police Checkpost,45,Female,6 months,Expired,134,Yes,Cycle,medium,Minor
Sikkim,West City-14,2020,February,12-10-2020 20:42,15.39279938,84.4147362,State Highway,Dry,Daylight,Clear,Signs,72,Female,3 months,Valid,58,Yes,Two-Wheeler,medium,Serious
Assam,Dibrugarh-8,2023,September,12-09-2023 04:13,23.02289369,79.04437021,Urban Road,Dry,Dark,Foggy,Signals,46,Male,2 yr,Valid,130,Yes,Car,average,Fatal
Meghalaya,South Town-9,2021,October,19-08-2021 08:25,20.99495118,85.20720085,State Highway,Damaged,Dawn,Rainy,Signals,79,Female,15 yr,Valid,82,No,Auto-Rickshaw,good,Minor
Assam,Dibrugarh-22,2021,November,26-11-2021 12:14,22.95004613,79.03436291,Village Road,Wet,Dark,Stormy,Police Checkpost,21,Female,14 yr,Valid,50,No,Car,bad,Minor
Uttarakhand,West City-1,2021,December,23-02-2021 06:11,9.74913352,75.10123127,Urban Road,Dry,Daylight,Hazy,Signals,56,Male,7 months,Valid,115,Yes,Two-Wheeler,good,Minor
Telangana,Mahbubnagar,2020,September,26-05-2020 05:56,15.98844164,78.33012821,State Highway,Dry,Daylight,Stormy,Signals,64,Male,4 months,Valid,86,Yes,Bus,bad,Fatal
Maharashtra,Nagpur,2021,January,08-02-2021 12:11,15.62590224,75.91567977,State Highway,Wet,Dawn,Clear,Signs,34,Female,22 yr,Valid,136,No,Truck,average,Minor
Rajasthan,Jaipur-10,2023,September,25-09-2023 03:43,26.97942867,74.22530982,Urban Road,Dry,Daylight,Foggy,Signals,19,Male,8 months,Expired,100,Yes,Bus,good,Minor
Rajasthan,East District-46,2019,October,12-01-2019 03:21,34.46307468,72.23434949,Village Road,Dry,Daylight,Hazy,Signs,65,Male,14 yr,Valid,17,Yes,Bus,good,Minor
Uttarakhand,Rishikesh-18,2021,February,15-02-2021 08:58,23.0250397,79.01755128,National Highway,Damaged,Dusk,Foggy,Signs,43,Male,13 yr,Valid,41,Yes,Pedestrian,poor,Minor
Gujarat,Junagadh,2023,October,08-01-2023 02:15,23.04044958,71.40982867,Village Road,Wet,Dark,Stormy,Police Checkpost,58,Male,8 months,No license,73,No,Two-Wheeler,bad,Minor
Haryana,Rohtak,2018,December,12-12-2018 15:46,29.39747849,77.34955721,State Highway,Dry,Dusk,Hazy,Signals,51,Female,7 months,Valid,147,Yes,Cycle,average,Serious
Madhya Pradesh,North Port-41,2022,May,09-01-2022 12:02,23.97214785,82.47539349,State Highway,Dry,Dark,Foggy,Signals,67,Female,3 months,Valid,22,Yes,Car,medium,Fatal
Uttar Pradesh,South City-42,2020,April,05-11-2020 11:13,31.89857807,92.46756414,National Highway,Wet,Dawn,Foggy,Police Checkpost,59,Female,11 months,Valid,102,Yes,Car,good,Minor
Maharashtra,Nashik,2018,June,29-07-2018 23:06,18.04903877,79.41760133,Urban Road,Dry,Dusk,Stormy,Police Checkpost,66,Male,9 months,Valid,70,Yes,Cycle,poor,Minor
Jammu and Kashmir,South District-13,2018,November,10-09-2018 19:00,27.9455209,89.44610894,Urban Road,Dry,Dark,Hazy,Police Checkpost,55,Male,26 yr,Valid,17,No,Bus,good,Fatal
Andhra Pradesh,Kakinada,2018,August,14-10-2018 05:02,19.09807567,82.1452014,State Highway,Wet,Dawn,Rainy,Signals,35,Female,2 months,Valid,38,Yes,Two-Wheeler,poor,Minor
Haryana,Faridabad-22,2022,February,05-02-2022 07:44,23.04225911,79.03240947,Urban Road,Under Construction,Daylight,Hazy,Police Checkpost,54,Female,3 yr,Expired,104,No,Car,average,Minor
Puducherry,South District-30,2022,October,28-03-2022 18:16,24.04993607,74.09707774,National Highway,Dry,Daylight,Stormy,Signals,35,Female,23 yr,Valid,50,Yes,Bus,good,Fatal
Andhra Pradesh,Kakinada,2021,March,08-09-2021 15:28,13.12294014,78.51979156,National Highway,Under Construction,Dawn,Clear,Signs,70,Female,7 yr,Valid,20,No,Truck,average,Serious
Delhi,West City-17,2023,May,12-10-2023 09:32,33.10915104,73.58011409,State Highway,Dry,Dark,Rainy,Signals,66,Male,3 months,Valid,11,Yes,Car,bad,Minor
Delhi,New City-50,2021,August,17-05-2021 03:50,10.98793314,84.65207252,National Highway,Dry,Dusk,Clear,Signals,62,Male,7 yr,Valid,140,No,Truck,medium,Minor
Odisha,South Port-36,2021,September,02-12-2021 07:20,13.08988544,82.01934171,Urban Road,Wet,Daylight,Clear,Police Checkpost,78,Female,4 months,Valid,89,Yes,Two-Wheeler,bad,Serious
Gujarat,Gandhinagar,2022,March,10-05-2022 09:29,22.00778971,74.10771178,State Highway,Under Construction,Dark,Clear,Signals,80,Male,7 months,Expired,96,Yes,Truck,medium,Minor
Goa,North Port-50,2018,January,04-03-2018 08:43,17.75893859,71.96761618,National Highway,Dry,Daylight,Foggy,Signals,74,Female,9 months,Expired,115,Yes,Truck,bad,Minor
Bihar,Central Town-37,2020,January,11-02-2020 20:01,27.98925468,72.26922726,Urban Road,Wet,Dawn,Rainy,Signals,68,Male,8 yr,Valid,148,No,Two-Wheeler,good,Serious
Assam,North Town-26,2022,November,29-06-2022 01:27,29.3830213,71.73140347,Urban Road,Wet,Dark,Hazy,Signals,72,Female,6 months,Valid,26,No,Car,poor,Serious
Punjab,East Town-2,2020,July,01-03-2020 16:47,31.17025224,73.85518752,National Highway,Dry,Daylight,Clear,Police Checkpost,73,Male,21 yr,Valid,32,No,Two-Wheeler,medium,Serious
Tamil Nadu,Madurai,2018,April,30-09-2018 06:56,11.12867502,76.62236813,Village Road,Dry,Daylight,Foggy,Signs,50,Male,1 yr,Valid,57,Yes,Two-Wheeler,good,Serious
Tamil Nadu,Tirunelveli-10,2018,January,09-01-2018 13:21,23.04320145,78.97152578,Urban Road,Under Construction,Daylight,Foggy,Signs,27,Female,1 yr,Valid,29,No,Two-Wheeler,poor,Minor
West Bengal,Central District-49,2021,October,17-06-2021 16:10,16.44299249,84.84517429,National Highway,Dry,Dusk,Foggy,Police Checkpost,44,Male,4 months,Valid,11,No,Bus,bad,Minor
Gujarat,Gandhinagar-10,2018,November,09-11-2018 13:07,22.96637741,79.02587582,Urban Road,Dry,Dawn,Hazy,Signs,57,Female,6 yr,Expired,97,No,Two-Wheeler,average,Minor
Tripura,New City-12,2018,June,01-10-2018 20:39,33.07179103,92.48246326,Urban Road,Under Construction,Dusk,Rainy,Signs,26,Male,16 yr,Valid,40,No,Two-Wheeler,bad,Minor
Haryana,West Port-35,2021,July,25-10-2021 19:11,27.47980684,77.24848969,Urban Road,Dry,Dusk,Clear,Police Checkpost,52,Male,10 months,No license,139,Yes,Truck,bad,Serious
Karnataka,Hubli,2022,September,16-05-2022 09:19,18.15885492,76.3729293,National Highway,Under Construction,Dusk,Clear,Signals,35,Male,18 yr,Valid,87,No,Two-Wheeler,good,Minor
Telangana,West Town-50,2021,February,11-05-2021 04:25,17.35857899,80.22829623,Village Road,Dry,Dusk,Rainy,Signals,53,Female,7 yr,Valid,13,Yes,Cycle,poor,Serious
Arunachal Pradesh,Itanagar-9,2021,April,14-04-2021 11:37,22.96738671,78.96635886,National Highway,Under Construction,Dawn,Clear,Signs,28,Female,14 yr,Expired,150,No,Auto-Rickshaw,bad,Serious
Delhi,New Delhi-29,2021,June,12-06-2021 14:29,23.00310242,78.96368329,Urban Road,Under Construction,Dusk,Rainy,Signs,51,Female,1 months,Valid,137,Yes,Two-Wheeler,average,Fatal
Goa,East Port-31,2020,June,08-03-2020 10:04,13.14134505,83.76746602,State Highway,Wet,Dawn,Foggy,Police Checkpost,69,Female,2 months,Valid,143,No,Two-Wheeler,bad,Minor
Odisha,Cuttack-2,2020,December,16-12-2020 02:24,22.98881537,79.00423035,Village Road,Dry,Daylight,Clear,Signs,61,Female,10 yr,Valid,40,Yes,Truck,good,Fatal
Kerala,North City-47,2018,September,28-09-2018 12:09,19.44861642,76.77608532,Urban Road,Under Construction,Dawn,Hazy,Signals,75,Female,14 yr,Valid,147,No,Two-Wheeler,good,Serious
Karnataka,Belgaum,2023,January,04-12-2023 09:53,11.90013784,75.83636759,National Highway,Dry,Dark,Hazy,Police Checkpost,64,Female,27 yr,Valid,30,Yes,Pedestrian,good,Minor
Rajasthan,Kota,2020,January,23-12-2020 07:01,31.71063929,70.01868833,Village Road,Wet,Dawn,Stormy,Police Checkpost,45,Male,2 months,Valid,32,Yes,Bus,average,Minor
Telangana,Warangal,2023,February,31-10-2023 12:42,16.63606364,78.39950559,Urban Road,Dry,Dawn,Foggy,Signals,33,Female,5 months,Expired,140,Yes,Two-Wheeler,bad,Fatal
Delhi,New Delhi-23,2018,November,22-11-2018 10:45,23.03151347,79.01857274,Urban Road,Under Construction,Daylight,Stormy,Signals,67,Female,5 months,Valid,38,Yes,Truck,poor,Minor
Manipur,North Port-32,2020,June,07-01-2020 04:59,11.28473719,88.29833841,National Highway,Damaged,Dawn,Rainy,Signals,21,Male,9 yr,Valid,114,No,Truck,average,Fatal
Gujarat,West City-35,2020,October,28-12-2020 03:38,23.90390697,70.74717633,National Highway,Damaged,Dark,Clear,Signals,76,Female,4 yr,Valid,61,Yes,Car,bad,Minor
Madhya Pradesh,Indore,2022,February,09-11-2022 04:18,26.02721915,78.38269892,Village Road,Damaged,Dusk,Stormy,Signals,64,Male,20 yr,Expired,124,Yes,Two-Wheeler,average,Minor
West Bengal,Durgapur-6,2021,March,21-03-2021 04:35,23.03424304,79.02194845,Village Road,Dry,Daylight,Hazy,Signs,68,Male,3 months,Expired,110,Yes,Cycle,bad,Serious
Telangana,Khammam,2018,February,05-07-2018 22:25,16.92709674,81.25381693,Village Road,Dry,Dusk,Stormy,Signs,56,Male,9 months,Valid,93,No,Bus,good,Minor
Andhra Pradesh,Visakhapatnam,2021,December,22-06-2021 19:36,14.44094284,79.52175319,State Highway,Wet,Dusk,Stormy,Police Checkpost,78,Female,9 months,Expired,70,No,Bus,poor,Minor
Tamil Nadu,South Town-34,2023,May,24-11-2023 20:23,11.83501165,80.20636958,National Highway,Dry,Dawn,Stormy,Signals,57,Female,3 months,Valid,134,No,Two-Wheeler,bad,Fatal
Kerala,New City-34,2020,July,06-03-2020 11:37,13.00048725,89.58647379,State Highway,Wet,Dusk,Hazy,Police Checkpost,30,Male,10 months,Valid,80,No,Two-Wheeler,poor,Minor
Madhya Pradesh,Ujjain,2020,January,12-05-2020 02:51,22.86902442,82.26712621,Village Road,Wet,Dark,Hazy,Signals,43,Female,2 yr,No license,79,No,Two-Wheeler,good,Fatal
Rajasthan,Ajmer,2022,September,18-09-2022 02:24,29.0788158,72.79603888,Village Road,Wet,Daylight,Hazy,Police Checkpost,42,Male,13 yr,Expired,148,No,Car,poor,Minor
Assam,Guwahati-17,2023,April,20-04-2023 04:58,23.02159637,79.00330076,National Highway,Damaged,Dawn,Rainy,Signals,41,Female,4 yr,No license,117,Yes,Auto-Rickshaw,medium,Serious
Sikkim,New City-47,2018,May,29-11-2018 01:31,29.4160295,75.42684206,Urban Road,Under Construction,Dusk,Rainy,Police Checkpost,29,Female,3 months,Valid,30,Yes,Car,medium,Serious
Chhattisgarh,North Port-28,2022,March,21-01-2022 21:14,12.67386886,77.52523077,State Highway,Wet,Dusk,Stormy,Police Checkpost,19,Female,10 yr,Valid,140,Yes,Two-Wheeler,good,Serious
Gujarat,Surat,2019,June,21-02-2019 04:39,20.10036622,71.58420381,Village Road,Under Construction,Dawn,Stormy,Signs,55,Male,10 months,Valid,91,Yes,Two-Wheeler,bad,Minor
Madhya Pradesh,Central City-49,2022,December,17-03-2022 22:26,20.56236845,74.45606498,Urban Road,Dry,Daylight,Hazy,Signs,23,Male,27 yr,Expired,97,No,Bus,good,Serious
Arunachal Pradesh,North District-37,2021,January,11-01-2021 08:22,36.5111349,86.43298439,National Highway,Dry,Daylight,Stormy,Signs,22,Male,8 months,Valid,120,Yes,Bus,good,Serious
Madhya Pradesh,Gwalior,2019,July,26-04-2019 05:59,24.69715909,82.01219189,National Highway,Dry,Dusk,Clear,Signs,35,Male,24 yr,Valid,19,Yes,Bus,poor,Fatal
Odisha,North City-38,2022,April,25-07-2022 01:04,27.92904918,86.77919639,Village Road,Damaged,Dark,Rainy,Police Checkpost,34,Male,15 yr,Valid,21,Yes,Two-Wheeler,bad,Serious
Punjab,Amritsar,2018,November,18-10-2018 15:40,30.53672646,73.48298218,State Highway,Dry,Dark,Stormy,Police Checkpost,39,Female,12 yr,Valid,16,No,Cycle,bad,Minor
Tamil Nadu,South District-43,2023,February,21-09-2023 08:03,9.9493874,79.06253427,State Highway,Wet,Dusk,Rainy,Signs,75,Female,18 yr,Expired,123,No,Pedestrian,bad,Fatal
Kerala,Thiruvananthapuram-24,2020,December,23-12-2020 03:43,23.04880925,79.04994187,Urban Road,Wet,Dusk,Clear,Signs,55,Female,5 months,Valid,35,No,Bus,average,Minor
Sikkim,New Port-26,2023,April,27-12-2023 08:26,34.83392141,76.77938961,State Highway,Dry,Daylight,Stormy,Signs,30,Female,6 yr,Valid,24,No,Two-Wheeler,average,Minor
Madhya Pradesh,North Town-39,2022,July,30-04-2022 00:28,20.12809403,81.59110809,National Highway,Damaged,Dark,Hazy,Signals,26,Male,24 yr,Valid,42,No,Car,average,Minor
Madhya Pradesh,Indore,2023,September,23-02-2023 03:05,25.0755412,78.63662515,National Highway,Wet,Dusk,Hazy,Signals,26,Male,10 months,Valid,71,No,Bus,medium,Minor
Goa,West District-6,2020,August,05-06-2020 01:52,32.64976204,95.03890003,National Highway,Dry,Dusk,Hazy,Police Checkpost,80,Male,2 months,Valid,56,No,Truck,average,Minor
Andhra Pradesh,Nellore,2019,June,27-04-2019 19:56,18.20186835,84.58539822,Village Road,Dry,Dawn,Rainy,Signals,27,Female,4 months,Valid,104,No,Auto-Rickshaw,average,Minor
Nagaland,Central District-40,2019,May,15-02-2019 04:07,30.27558139,91.8383693,Urban Road,Wet,Dark,Clear,Police Checkpost,34,Male,26 yr,Valid,44,Yes,Bus,average,Serious
Tamil Nadu,West Town-49,2018,September,03-04-2018 07:16,8.97128145,79.59193876,Urban Road,Damaged,Daylight,Foggy,Signs,40,Male,1 months,Valid,85,No,Two-Wheeler,medium,Minor
Arunachal Pradesh,Itanagar-62,2022,November,12-11-2022 18:17,22.9525489,79.02499052,Village Road,Under Construction,Dark,Stormy,Signals,47,Male,2 months,Expired,132,Yes,Cycle,good,Minor
Madhya Pradesh,Central Port-6,2021,February,20-02-2021 02:00,23.39837629,81.60177796,Village Road,Dry,Dawn,Clear,Police Checkpost,72,Female,29 yr,Valid,92,Yes,Bus,medium,Serious
Tamil Nadu,Vellore,2020,January,27-06-2020 12:06,12.71273771,77.76654612,Village Road,Wet,Dark,Rainy,Signs,47,Female,7 months,Valid,34,No,Bus,average,Fatal
Andhra Pradesh,South District-20,2023,February,05-12-2023 04:27,17.89374157,83.55094186,Urban Road,Damaged,Daylight,Foggy,Police Checkpost,41,Female,4 months,Valid,66,No,Bus,poor,Fatal
Sikkim,West Port-28,2020,November,11-06-2020 17:52,33.76649761,93.85123288,Urban Road,Wet,Dark,Rainy,Signals,40,Female,27 yr,Valid,41,No,Truck,good,Serious
Haryana,East District-17,2023,February,28-09-2023 06:11,29.15672592,76.30815456,State Highway,Wet,Dawn,Clear,Police Checkpost,53,Male,3 months,Valid,72,Yes,Bus,good,Minor
Rajasthan,Jodhpur,2020,May,09-01-2020 15:27,28.41187653,78.05815285,State Highway,Dry,Dark,Rainy,Signals,57,Female,3 months,Valid,21,No,Pedestrian,medium,Serious
Tamil Nadu,Madurai,2023,August,27-12-2023 08:20,10.53271801,76.92211684,National Highway,Dry,Dark,Hazy,Signals,76,Male,18 yr,Expired,72,Yes,Bus,bad,Serious
Rajasthan,Kota,2020,March,08-04-2020 13:55,27.92386327,76.04721279,Village Road,Under Construction,Dusk,Foggy,Signs,27,Male,2 months,Expired,86,Yes,Truck,bad,Fatal
Andhra Pradesh,Tirupati,2020,November,09-11-2020 19:12,13.01236179,83.26036876,Urban Road,Dry,Dusk,Hazy,Police Checkpost,46,Female,27 yr,Valid,101,Yes,Auto-Rickshaw,poor,Minor
Madhya Pradesh,Central City-41,2020,April,22-06-2020 12:33,20.82949679,82.72968606,State Highway,Dry,Dusk,Hazy,Signals,27,Female,11 months,Valid,10,Yes,Two-Wheeler,poor,Minor
Gujarat,Vadodara,2019,March,24-03-2019 12:57,20.78405276,72.46046481,State Highway,Dry,Dusk,Rainy,Police Checkpost,47,Male,11 months,Valid,79,No,Cycle,medium,Minor
Telangana,Nizamabad,2021,May,15-05-2021 13:53,17.17826949,81.57354561,Urban Road,Wet,Dawn,Hazy,Signals,29,Male,5 months,Expired,145,Yes,Auto-Rickshaw,average,Minor
Jharkhand,Ranchi-48,2022,July,11-07-2022 06:37,22.95955344,79.02907155,National Highway,Under Construction,Dawn,Foggy,Signs,46,Female,14 yr,Expired,142,No,Car,medium,Fatal
Odisha,Berhampur-4,2018,August,13-08-2018 19:30,22.97394173,79.03782215,National Highway,Wet,Daylight,Rainy,Police Checkpost,27,Male,5 yr,Valid,95,Yes,Two-Wheeler,medium,Minor
Rajasthan,Ajmer,2021,August,05-06-2021 13:02,32.75658588,71.80393094,Urban Road,Wet,Dark,Stormy,Signals,78,Male,13 yr,Valid,48,Yes,Car,bad,Minor
Goa,North Town-50,2020,January,08-12-2020 06:22,27.86733426,73.19969874,National Highway,Dry,Daylight,Rainy,Signals,69,Male,29 yr,Expired,32,Yes,Truck,medium,Fatal
Karnataka,Bangalore,2023,April,18-07-2023 06:39,18.14110289,75.2571222,Village Road,Wet,Dawn,Clear,Police Checkpost,76,Male,8 yr,Valid,77,Yes,Two-Wheeler,poor,Minor
Assam,North Town-39,2018,April,12-05-2018 07:00,20.77518897,78.7987961,National Highway,Dry,Dawn,Rainy,Signs,18,Female,11 months,Valid,13,Yes,Truck,average,Serious
Odisha,Bhubaneswar-19,2022,February,10-02-2022 10:33,22.99564619,79.01884021,State Highway,Dry,Dusk,Hazy,Signs,41,Female,4 months,Valid,135,No,Bus,poor,Minor
Gujarat,East District-11,2019,June,20-12-2019 21:48,22.4310346,73.61063193,Urban Road,Dry,Daylight,Clear,Signs,23,Male,4 months,Valid,30,Yes,Truck,bad,Minor
Meghalaya,North City-38,2021,March,14-08-2021 00:01,24.52191169,87.22610176,Village Road,Damaged,Dawn,Clear,Police Checkpost,66,Female,1 yr,Valid,114,No,Car,poor,Serious
Punjab,Ludhiana,2021,March,31-12-2021 18:47,29.72481539,73.99755286,National Highway,Dry,Daylight,Rainy,Signs,80,Male,28 yr,Valid,75,Yes,Two-Wheeler,medium,Minor
Puducherry,New District-39,2020,December,05-04-2020 22:53,31.585018,90.04423562,National Highway,Dry,Daylight,Hazy,Signs,72,Female,20 yr,Valid,16,Yes,Auto-Rickshaw,medium,Serious
Chhattisgarh,East Port-47,2018,June,19-07-2018 22:29,21.16757907,78.63539143,Village Road,Dry,Dusk,Hazy,Police Checkpost,35,Male,18 yr,Expired,58,No,Two-Wheeler,good,Minor
Haryana,North Port-14,2023,April,08-02-2023 03:28,27.68583279,77.36597215,National Highway,Dry,Dusk,Foggy,Police Checkpost,44,Male,10 months,Valid,25,Yes,Truck,medium,Fatal
Sikkim,Gyalshing-7,2021,October,13-10-2021 18:15,27.5441011,88.4883661,National Highway,Wet,Dawn,Stormy,Police Checkpost,67,Male,2 months,No license,93,Yes,Cycle,average,Minor
Jharkhand,Ranchi-54,2019,June,03-06-2019 23:32,23.02300097,78.96649762,National Highway,Damaged,Daylight,Rainy,Police Checkpost,46,Female,3 yr,Expired,96,No,Truck,medium,Serious
Mizoram,Aizawl-42,2018,August,12-08-2018 05:02,22.99398513,78.98845498,Village Road,Damaged,Dusk,Stormy,Signs,54,Female,14 yr,Valid,107,Yes,Truck,average,Minor
Haryana,North District-40,2019,December,27-06-2019 05:53,29.89918628,76.6639068,Village Road,Dry,Dark,Stormy,Signs,79,Female,24 yr,Expired,84,No,Auto-Rickshaw,bad,Minor
Uttar Pradesh,New Town-24,2022,December,02-02-2022 07:31,35.72030005,75.78944913,State Highway,Damaged,Dark,Foggy,Signs,71,Female,26 yr,Valid,43,Yes,Truck,poor,Serious
Meghalaya,North Town-1,2022,February,03-08-2022 04:39,27.71675392,89.04974159,State Highway,Wet,Dawn,Foggy,Signals,18,Female,29 yr,No license,35,Yes,Auto-Rickshaw,average,Fatal
Madhya Pradesh,South Town-7,2018,November,10-11-2018 00:41,22.95600791,80.33189689,Urban Road,Under Construction,Dark,Rainy,Signals,27,Female,14 yr,Valid,75,No,Truck,poor,Minor
Andhra Pradesh,Nellore,2018,February,28-06-2018 08:05,16.99141657,84.49138933,State Highway,Dry,Daylight,Clear,Signals,56,Female,23 yr,No license,134,Yes,Two-Wheeler,medium,Serious
Haryana,North District-22,2019,February,26-09-2019 20:02,28.43057943,76.52720794,Urban Road,Wet,Daylight,Hazy,Signs,51,Female,1 months,Valid,72,No,Cycle,medium,Minor
Tripura,Agartala-34,2020,March,08-03-2020 16:18,22.95886891,78.9523031,State Highway,Dry,Dusk,Stormy,Signs,45,Male,14 yr,Expired,96,Yes,Truck,good,Minor
Mizoram,Aizawl-40,2022,May,12-05-2022 02:35,22.99745722,79.02957682,State Highway,Under Construction,Dawn,Rainy,Signs,52,Male,8 months,Valid,50,Yes,Two-Wheeler,average,Minor
Uttar Pradesh,North Port-22,2019,April,14-11-2019 14:53,16.66928471,92.0352035,Urban Road,Dry,Dawn,Clear,Signals,40,Male,23 yr,Valid,107,Yes,Bus,poor,Serious
Gujarat,Ahmedabad,2018,September,09-05-2018 09:00,22.73511587,73.76668345,Urban Road,Dry,Dark,Rainy,Signs,66,Female,12 yr,Valid,133,Yes,Car,poor,Minor
Rajasthan,Alwar,2020,November,24-08-2020 16:43,32.63039206,73.32138615,National Highway,Wet,Daylight,Foggy,Signs,21,Female,4 months,Valid,88,No,Two-Wheeler,good,Serious
Bihar,New Town-32,2020,October,19-01-2020 07:06,8.22148712,72.62483927,State Highway,Dry,Dark,Rainy,Police Checkpost,80,Female,23 yr,Valid,19,Yes,Two-Wheeler,bad,Fatal
Karnataka,Mysore,2018,September,05-07-2018 05:09,16.85526671,76.83463952,National Highway,Dry,Dusk,Foggy,Signals,32,Male,10 yr,Valid,24,No,Bus,good,Minor
Karnataka,Hassan,2019,November,07-12-2019 05:03,13.22784139,74.79135845,State Highway,Damaged,Daylight,Foggy,Police Checkpost,52,Female,2 months,Valid,51,No,Truck,bad,Minor
Chandigarh,Chandigarh-15,2019,June,28-06-2019 03:23,23.02872109,79.01370044,Urban Road,Damaged,Daylight,Rainy,Signals,68,Female,2 months,Valid,102,Yes,Bus,poor,Minor
Karnataka,Belgaum,2021,May,30-07-2021 01:19,16.13414637,75.79942632,Urban Road,Dry,Dark,Foggy,Police Checkpost,27,Female,14 yr,Valid,26,Yes,Truck,bad,Fatal
Uttar Pradesh,East Town-12,2020,April,20-12-2020 16:58,10.82262749,71.72638361,Urban Road,Dry,Dawn,Rainy,Police Checkpost,24,Male,27 yr,Valid,18,Yes,Two-Wheeler,bad,Serious
Telangana,Mahbubnagar,2019,June,13-02-2019 11:49,16.13398778,80.36403934,Village Road,Wet,Daylight,Foggy,Signs,64,Female,19 yr,Valid,123,Yes,Truck,average,Serious
Punjab,New District-25,2020,February,11-05-2020 23:11,32.08510485,73.89911875,Urban Road,Dry,Dusk,Stormy,Police Checkpost,75,Female,11 months,Expired,45,Yes,Cycle,medium,Minor
West Bengal,Malda-9,2022,March,08-03-2022 22:37,23.03737008,79.04263419,State Highway,Wet,Dark,Foggy,Signs,28,Female,7 yr,Valid,45,Yes,Cycle,bad,Fatal
Telangana,Hyderabad-11,2021,February,22-02-2021 22:04,23.02324088,78.95773798,National Highway,Dry,Daylight,Clear,Police Checkpost,56,Female,12 yr,Expired,57,No,Two-Wheeler,poor,Minor
Rajasthan,Alwar,2018,April,24-03-2018 03:54,32.48595745,74.98458628,National Highway,Wet,Daylight,Clear,Police Checkpost,65,Female,13 yr,Valid,60,Yes,Bus,medium,Serious
West Bengal,New City-1,2021,November,13-11-2021 16:48,33.50558915,82.32528893,Village Road,Damaged,Dawn,Stormy,Signals,59,Male,26 yr,Expired,106,Yes,Truck,poor,Minor
Karnataka,Bengaluru-16,2022,July,14-07-2022 01:47,22.96716129,78.95509264,National Highway,Wet,Daylight,Rainy,Signs,20,Female,6 months,No license,128,Yes,Pedestrian,poor,Minor
